"year","DDpre","Tpre.a","Tpre.b","MLDegg","LSTegg","CSTegg1","DDegg1","CSTegg2","LSTegg2","DDegg2","LSTlarv","CSTlarv","DDlarv","LSTpjuv","CSTpjuv","DDpjuv","LSTbjuv.a","CSTbjuv.a","LSTbjuv.b","CSTbjuv.b","recdev","SD","period","fit","se","fit_mixed"
1980,NA,6.1435,6.5381,43.9817857142857,-0.02769525,0.00125102642857143,5.47457142857143,-0.005942,0.000636764285714286,3.22760714285714,-0.0153257428571429,0.00124276571428571,7.3875,-0.0433539677419355,0.000942029032258065,6.60241935483871,0.00335777777777778,0.00471811111111111,0.0169592074074074,-0.00257657037037037,NA,NA,"before",NA,NA,NA
1981,4.28604347826087,6.14837837837838,6.528,38.4091111111111,-0.0233299111111111,-0.00124936555555556,5.46717777777778,0.00222277777777778,-0.000338389777777778,3.2464,-0.0122186717391304,0.0039982347826087,8.63155555555556,-0.0226518666666667,-0.00261484,7.15266666666667,-0.00398766666666667,0.00788811666666667,0.0243073574074074,-0.00283413703703704,-0.163668,0.268024,"before",-0.310258271127688,0.0654196659714162,-0.2991661437879
1982,4.22395652173913,5.94497368421053,6.29336842105263,36.6062222222222,-0.0104990444444444,0.000476424444444444,4.96742222222222,0.00784057333333333,0.000419911111111111,3.03573333333333,-0.0272427260869565,0.00220708043478261,7.06151111111111,-0.00244507666666667,-0.0033213,5.80233333333333,-0.00359562264150943,0.00844948433962264,0.0155457735849057,-0.00150907547169811,-0.175993,0.2527,"before",-0.376685390736427,0.0716783664902871,-0.362620175141002
1983,4.46610869565217,6.72365789473684,7.20442105263158,41.2448888888889,0.0728055555555556,-0.00348792666666667,6.19368888888889,0.0167514888888889,-0.00168670711111111,3.87048888888889,-0.0103951511111111,0.011425,7.77555555555556,-0.0234703548387097,-0.00211282225806452,7.00193548387097,0.000726871698113208,0.00486171320754717,0.0112591773584906,-0.00146554188679245,-0.0520474,0.245267,"before",-0.243894132641898,0.0542629579016376,-0.237064471731752
1984,5.37502173913043,5.87784210526316,6.30847368421053,39.0967391304348,-0.0462018043478261,0.00106043043478261,5.37763043478261,-0.0163691043478261,0.000878600304347826,3.03052173913043,-0.029408,0.00451089565217391,7.4450652173913,-0.0206161333333333,0.000508371,6.3211,-0.00356721296296296,0.00732566111111111,0.0105730185185185,-0.000541312962962963,0.301509,0.199336,"before",0.296702986336867,0.087995219471515,0.275356863374087
1985,4.53989130434783,5.94976315789474,6.27231578947368,38.8231111111111,-0.0369367688888889,0.00200365822222222,4.6734,0.00493794,0.000310825333333333,2.94275555555556,-0.0446834347826087,-0.0022932347826087,6.65791111111111,-0.0447005,-0.002485428,5.6006,-0.015441658490566,0.0122451320754717,0.00333449679245283,0.000475466037735849,-0.178777,0.242198,"before",-0.111812733611222,0.0976130418765586,-0.112589130703422
1986,4.77878260869565,6.09097368421053,6.50018421052632,36.8715555555556,-0.00246893333333333,-0.000340554222222222,4.87975555555556,-0.0137318422222222,0.000387880222222222,3.191,-0.0111760711111111,0.00414510288888889,6.66388888888889,0.00690379677419355,-0.00238087419354839,6.12422580645161,-0.0146476226415094,0.012496,0.00179899811320755,0.000629056603773585,-0.603732,0.2404,"before",-0.328622410167276,0.0823372471555067,-0.330143264535578
1987,4.62702173913044,6.32526315789474,6.73281578947368,33.8480434782609,0.00236139130434783,-0.000776901956521739,5.29508695652174,-0.00322354130434783,1.1329347826087e-05,3.41641304347826,-0.0189605333333333,0.00350617777777778,7.3595652173913,-0.000271096774193548,-0.00489854516129032,6.32493548387097,-0.0115707574074074,0.0106534598148148,0.00301629074074074,0.000112661111111111,-0.444628,0.243211,"before",-0.431732669246357,0.0741450503220206,-0.425356489524181
1988,4.8990652173913,6.11713157894737,6.5593947368421,36.7115555555556,-0.000535866666666667,-0.000346842222222222,5.21104444444444,-0.000192846666666667,0.000443569111111111,3.27766666666667,-0.0167899808695652,0.00315399347826087,6.91868888888889,-0.0040038,-0.00305932666666667,5.88086666666667,-0.00739751320754717,0.00846355283018868,0.00893157528301887,-0.000444801886792453,0.0125347,0.228505,"before",-0.0545281956843926,0.059981907627727,-0.0598125024081908
1989,4.39567391304348,6.02905263157895,6.35586842105263,38.0277777777778,0.0061194,-0.000277224444444444,4.62871111111111,0.00895491111111111,-4.30437777777778e-05,3.06013333333333,0.0162952222222222,-0.00228006888888889,6.3176,0.0435077419354839,-0.00528508709677419,5.65787096774194,0.00385758490566038,0.0053727320754717,0.0129382075471698,-0.001796,0.324476,0.206387,"before",0.0840634953862285,0.0674677838631709,0.0887707093433912
1990,4.60882608695652,6.31152631578947,6.6681052631579,37.2571739130435,0.0313409782608696,-0.00153314586956522,4.97636956521739,0.0180596956521739,-0.00130920891304348,3.40367391304348,0.0141696177777778,-3.32955555555556e-05,6.5419347826087,0.0173097741935484,-0.00353262258064516,5.60858064516129,-0.00325384814814815,0.00672427222222222,0.00614377777777778,-0.000590325,0.291344,0.223618,"before",0.0163780831840672,0.057910069244603,0.0170859429416406
1991,4.95886956521739,6.02689189189189,6.39383783783784,36.7113333333333,0.0220312222222222,-0.000411604444444444,4.59893333333333,0.00245697777777778,-0.000227175555555556,3.07028888888889,0.00244290869565217,-0.00311079347826087,6.39691111111111,0.000399133333333333,-0.007822,5.26483333333333,-0.00435782777777778,0.00825462037037037,0.00477807962962963,9.83581481481482e-05,-0.158251,0.247157,"before",0.226684538812699,0.085894001047113,0.215921902409745
1992,4.5484347826087,6.57168421052632,7.00060526315789,31.0417777777778,0.0677506237777778,-0.00313487733333333,5.45691111111111,0.0118546377777778,-0.00164646888888889,3.72986666666667,0.0029585347826087,0.00828185217391304,7.43977777777778,-0.0375277419354839,-0.00118667741935484,7.06606451612903,-0.000601017547169811,0.00577870094339623,0.00391311320754717,-0.000273605283018868,-0.574091,0.26365,"before",-0.559757752198399,0.101147197218295,-0.544556666007331
1993,5.3670652173913,6.11228947368421,6.58084210526316,39.5545652173913,0.0307667608695652,3.277e-05,5.34389130434783,-0.0109401086956522,0.00046520652173913,3.31830434782609,0.0361792357777778,0.0157583777777778,7.03395652173913,-0.012252135483871,0.0108129677419355,6.18112903225806,0.00497285740740741,0.00358666611111111,0.0118146111111111,-0.00157642962962963,0.0585736,0.203685,"before",0.0471117196975479,0.0973103400990518,0.0322749908418558
1994,5.00267391304348,6.28002702702703,6.68508108108108,41.1282222222222,0.0570994,-0.000990952666666667,5.31648888888889,0.0260451666666667,-0.00141908964444444,3.37026666666667,0.0175239565217391,0.00957076086956522,7.16097777777778,-0.00829300666666667,0.00264646333333333,6.25326666666667,0.00635651648148148,0.00432961666666667,0.016973972962963,-0.00223628483333333,0.240043,0.173519,"before",0.127821189054916,0.0528571661486623,0.117988232943338
1995,4.81136956521739,6.43378947368421,6.91528947368421,45.3897777777778,0.0692735155555556,-0.00265162444444444,5.59973333333333,0.00469493333333333,-0.00136373711111111,3.61411111111111,0.0377091086956522,0.0201465869565217,6.96266666666667,-0.0369443666666667,0.00705451,5.81296666666667,-0.00203041886792453,0.00547164773584906,0.011202679245283,-0.00178857358490566,-0.3434,0.205219,"before",-0.246248030418293,0.0895926134392539,-0.24951598609394
1996,4.79069565217391,6.06834210526316,6.47592105263158,38.0810869565217,0.0240359347826087,-0.00214911869565217,5.43754347826087,-0.000834413043478261,-0.000730166304347826,3.18832608695652,0.0451054937777778,0.0173571333333333,7.83108695652174,-0.00171012903225806,0.00301984838709677,6.37090322580645,0.00752498703703704,0.00341776111111111,0.0144740240740741,-0.00199051666666667,-0.228037,0.166611,"before",-0.372856283522545,0.0895316015675192,-0.368011701402337
1997,4.80097826086957,6.20494594594595,6.57916216216216,37.072,0.0216993111111111,-0.00118563844444444,5.11993333333333,0.0161832555555556,-0.00134689111111111,3.24851111111111,0.0309378608695652,0.0109773934782609,7.07982222222222,0.0069378,0.00405284333333333,6.39446666666667,0.00751068518518518,0.00242629444444444,0.0192329944444444,-0.00371894759259259,-0.22206,0.165243,"before",-0.121756695939117,0.0774298728576341,-0.119723227202608
1998,5.5635,6.50955263157895,7.12921052631579,55.7397777777778,0.0414681777777778,-0.00177778,6.7474,0.000753244444444444,-0.000917245622222222,3.92375555555556,0.0137240434782609,0.017772937826087,8.36422222222222,-0.0670187,0.00323505,6.91233333333333,0.00537564150943396,0.0037681620754717,0.0169142037735849,-0.00233918867924528,0.654334,0.0887485,"before",0.76107734183985,0.139377805081544,0.721545126003967
1999,5.12060869565217,5.86534210526316,6.24092105263158,46.2802222222222,-0.000605555555555555,-0.00152406888888889,4.80917777777778,-0.00603983333333333,3.25133333333333e-05,2.93751111111111,0.0186052004444444,0.0128990062222222,6.51322222222222,0.0110219032258065,0.00479758064516129,5.389,0.00708505660377359,0.00402863962264151,0.0179284320754717,-0.00208224113207547,0.216223,0.107437,"before",0.297032141670891,0.0663196505644523,0.27932984945057
2000,4.31428260869565,6.09989473684211,6.493,44.8708695652174,0.0129109130434783,-0.000308766304347826,5.13526086956522,0.00261941304347826,-0.000369045217391304,3.17769565217391,0.0307951086956522,0.010251797826087,7.04682608695652,0.00209243333333333,0.000796474666666667,5.84126666666667,0.00706492592592593,0.00324104259259259,0.0181896296296296,-0.00255372407407407,-0.14471,0.11527,"before",-0.0503877852574037,0.0627879454668499,-0.0442575800580138
2001,4.60213043478261,6.13094736842105,6.47663157894737,37.0684444444444,0.0263187133333333,-0.000699204444444444,4.73111111111111,0.0121844577777778,-0.000835067777777778,3.12071111111111,0.0172524891304348,0.00425288260869565,6.47933333333333,0.00230588666666667,0.00020023,5.34186666666667,0.00533201886792453,0.00462629622641509,0.0209966603773585,-0.00316618301886792,-0.221353,0.108916,"before",-0.0662781179916125,0.0526134093981649,-0.0625050051654035
2002,3.89776086956522,5.73365789473684,6.06718421052632,40.8675555555556,0.0418232133333333,-0.000759045555555556,4.54668888888889,0.0243300222222222,-0.00152474355555556,2.79811111111111,0.00864744444444445,0.00177294,6.51426666666667,-0.0347180322580645,-0.00300827419354839,5.46425806451613,0.0286443528301887,-0.00188003962264151,0.043617320754717,-0.00565897169811321,-0.142628,0.0998169,"before",0.112396805847424,0.0958376111997697,0.13085230748229
2003,4.11989130434783,6.06573684210526,6.47334210526316,44.1560869565217,0.0140323260869565,-0.00145399913043478,5.42641304347826,0.00755134130434783,-0.000995941195652174,3.13976086956522,0.0161814288888889,0.0177882244444444,7.70086956521739,-0.0270318612903226,0.0042291,6.39141935483871,0.0168836111111111,0.000706955555555556,0.0249293388888889,-0.00348273888888889,-0.38465,0.118043,"before",-0.359592815103346,0.0964724300753447,-0.342289198758121
2004,4.27663043478261,5.84673684210526,6.22718421052632,42.5004444444444,0.0157295555555556,-0.000403319777777778,5.18951111111111,0.00879782222222222,-0.000530411333333333,2.95971111111111,0.016710152173913,0.00979336956521739,7.42677777777778,-0.0124868,0.00157210333333333,6.56113333333333,0.00976321037735849,0.00263111320754717,0.0175051641509434,-0.00242966547169811,-0.163691,0.104844,"before",-0.127342983290094,0.0559063498620294,-0.117410946989321
2005,4.75010869565217,6.18581578947368,6.62228947368421,41.8755555555556,0.0636797222222222,-0.00179997111111111,5.51937777777778,0.0179546,-0.00131787555555556,3.35557777777778,0.0180038911111111,0.00801608444444444,7.27331111111111,-0.000230838709677419,0.00600973870967742,6.56406451612903,0.00528275471698113,0.00320620686792453,0.0132786037735849,-0.00189511886792453,-0.0859676,0.110578,"before",0.137065952130513,0.0429826863042285,0.132820072987718
2006,5.02841304347826,5.71213157894737,6.15192105263158,48.0769565217391,-0.00144773913043478,-0.000807617391304348,5.29765217391304,-0.0157014086956522,-4.65021739130435e-05,2.94117391304348,0.0345276444444444,0.0137698755555556,7.31191304347826,0.0159854838709677,0.000179777096774193,6.50941935483871,0.00517399259259259,0.00411536481481482,0.0172357,-0.00193339796296296,0.517299,0.0883071,"before",0.288595917536639,0.0722651852390645,0.27187595893526
2007,4.65771739130435,6.17843243243243,6.58135135135135,45.0651111111111,0.0176383777777778,2.22222222222224e-07,5.17971111111111,0.0203658222222222,-0.00146382888888889,3.22735555555556,0.00661558695652174,0.0071655152173913,6.66953333333333,-0.0127622,0.00089056,5.81336666666667,0.0222087148148148,-0.00121563333333333,0.0303246759259259,-0.00444613333333333,0.722214,0.0886673,"before",0.455497199530171,0.0742453012875195,0.449651642178523
2008,4.57417391304348,5.85126315789474,6.21923684210526,47.0608888888889,0.0190845155555556,0.000724359111111111,4.63337777777778,0.00981462,-9.97666666666667e-05,2.87026666666667,0.00822010869565217,0.00404402608695652,6.00693333333333,-0.0189501870967742,-0.000216844838709677,5.19351612903226,0.0311823075471698,-0.00252294339622642,0.0471657169811321,-0.00537569433962264,1.00819,0.0806556,"before",0.675569083675891,0.0979642310847631,0.667877937783435
2009,3.76565217391304,6.02847368421053,6.37973684210526,43.089347826087,0.036068347826087,-0.00070986347826087,4.723,0.0283306652173913,-0.00116853152173913,2.99910869565217,0.0144596444444444,-0.00320046222222222,6.32321739130435,0.0122481612903226,-0.00676546451612903,5.42783870967742,0.0173967592592593,0.000702993333333333,0.02755915,-0.00349803574074074,0.123725,0.139927,"before",0.214358104856363,0.11001532559353,0.230858664911127
2010,4.20523913043478,5.88116216216216,6.31102702702703,50.4704444444444,0.0093982,-0.00199969777777778,5.33355555555556,0.00182986666666667,-0.00159378155555556,3.04684444444444,0.0392705413043478,0.0192795434782609,7.05304444444444,-0.0200745366666667,0.0044069,5.9209,0.0327625777777778,-0.00311104814814815,0.0421212777777778,-0.00496012962962963,-0.134388,0.159113,"before",0.0697930073762159,0.104621015452695,0.0777746841150655
2011,3.83408695652174,5.90988834951456,6.28445242718447,30.2733233082707,0.018363022556391,-0.0012673969924812,5.05244962406015,0.00514597744360902,0.00327082640601504,3.03556691729323,0.0357385987261147,0.00844222929936306,6.63326992481203,0.0117047540983607,0.00270696721311475,7.19855901639344,0.0245182710280374,-0.00225102803738318,0.0726835981308411,-0.0118228504672897,-0.00226759,0.14556,"after",1.47671242905913,1.15570336801932,-3.29804267518138
2012,9.30310326086957,6.17028881578947,6.31693947368421,29.2211483516484,0.0894103296703297,-0.00219791208791209,4.33257637362637,-0.00505675824175824,0.105252252747253,2.95660714285714,0.0110094535519126,0.00349546448087432,6.17810274725275,0.0136572950819672,0.000509836065573771,6.48311393442623,0.0472639252336449,-0.0111220093457944,0.0913045794392523,-0.0158107476635514,0.338751,0.123477,"after",0.0691641337582941,0.0993109879614758,-0.0469028328660439
2013,8.85732826086956,6.22739536423841,6.4219821192053,34.2921933701657,0.0786718784530387,-0.000892872928176796,4.63113922651934,-0.00489082872928177,0.103466906077348,2.92243149171271,-0.00372368131868132,0.00201538461538462,6.73682154696133,-0.0199152459016393,-0.00163360655737705,7.00119508196721,0.0449564953271028,-0.0101532242990654,0.0923949065420561,-0.0167181308411215,-0.238828,0.189229,"after",-0.127033525184709,0.176718204293794,-0.0434461023409587
2014,9.62674782608696,6.42053046357616,6.58849735099338,29.386635359116,0.0971325966850829,-0.00175309392265193,4.42387182320442,-0.00568674033149171,0.110647900552486,3.11592817679558,-0.00319967032967033,0.000933901098901099,6.83536906077348,-0.0230450819672131,-0.00349303278688525,7.54050163934426,0.0302763551401869,-0.00412093457943925,0.0517517757009346,-0.00765285046728972,-0.260996,0.203462,"after",-0.279522428359424,0.110535920687184,-0.0950152250427094
2015,10.1836358695652,6.02113509933775,6.31149867549669,30.6549779005525,0.0476629834254144,-0.000857955801104972,5.16757348066298,-0.00219707182320442,0.060311270718232,2.91164309392265,0.00131824175824176,0.0039971978021978,8.4531270718232,-0.0161545901639344,-0.00377311475409836,8.57495901639344,0.0701201869158879,-0.0180714485981308,0.111117897196262,-0.0200039719626168,-0.32955,0.248918,"after",-0.080899236713902,0.173590497193032,0.740772312926631
2016,10.0507826086957,6.25321776315789,6.47510460526316,23.654978021978,0.12379467032967,-0.00283478021978022,4.93359945054945,-0.00666054945054945,0.136840604395604,2.96567197802198,0.020787650273224,0.0120654098360656,7.9923021978022,-0.0400964754098361,-0.000388360655737705,7.78836885245902,0.0441401869158878,-0.00882224299065421,0.0748757476635514,-0.0124891588785047,-0.102334,0.291679,"after",-0.229883961772322,0.136913549358784,-0.335078520894829
2017,9.70570652173913,6.07848874172185,6.24478741721854,28.1942320441989,0.10560955801105,-0.00129154696132597,4.75163701657459,-0.00428718232044199,0.110674364640884,2.82610055248619,0.0273704395604396,0.00721741758241758,7.60501657458564,0.00581254098360656,0.00448245901639344,7.04517049180328,0.0351388785046729,-0.00709453271028037,0.0618635981308411,-0.00964757009345794,-0.121855,0.373236,"after",-0.329052074785732,0.0910356914450248,-0.210470255116449
2018,9.36282065217391,6.42245298013245,6.60109139072848,22.1975027624309,0.114360055248619,-0.00134149171270718,4.75797237569061,-0.00471745856353591,0.119261878453039,3.19725193370166,0.00695956043956044,0.00601967032967033,7.31351215469613,-0.0160986885245902,0.00106581967213115,6.65137459016393,0.0365144859813084,-0.00637257009345794,0.0597669626168224,-0.00951261682242991,0,0.4,"after",0.262415093057833,0.174293496377354,-0.617961238472146
2019,9.41410869565217,6.59137947019868,6.84585364238411,27.2046187845304,0.0753244751381215,-0.00104254143646409,4.9956,-0.00189972375690608,0.0557126519337017,3.42640828729282,-0.00199208791208791,0.00523065934065934,7.45445303867403,-0.0218877868852459,-0.00358581967213115,7.08529508196721,0.020508691588785,-0.00096303738317757,0.0369209813084112,-0.00438495327102804,NA,NA,"after",-0.341756813419163,0.123084730247269,-0.594891755597019
2020,9.91679347826087,6.4226375,6.62411513157895,26.9891703296703,0.0890091758241758,-0.000988516483516483,4.66300934065934,-0.00326565934065934,0.0852852197802198,3.2065,-0.00655327868852459,0.0036644262295082,6.85364340659341,-0.0236848360655738,-0.00334754098360656,6.40195081967213,0.031409953271028,-0.00593406542056075,0.048479953271028,-0.00734514018691589,NA,NA,"after",-0.234351847305582,0.112392255513269,-0.0736148004915096
2021,9.41692391304348,6.0948701986755,6.32108609271523,24.8851878453039,0.0480600552486188,-0.000285303867403315,4.41326187845304,-0.00225325966850829,0.0578385635359116,2.91982375690608,-0.0140593956043956,0.00135868131868132,6.82705138121547,-0.0136046721311475,-0.00282540983606557,6.54121475409836,0.0189589252336449,-0.000673598130841121,0.0427491588785047,-0.00561205607476636,NA,NA,"after",-0.033884936923297,0.138370709814604,-0.556962713426399
2022,8.81075,6.05893443708609,6.28777284768212,27.1041602209945,0.0795603314917127,-0.00307480662983425,4.64692430939226,-0.00466779005524862,0.102112651933702,2.92901325966851,-0.00395263736263736,-0.00171873626373626,6.77881878453039,-0.0245596721311475,-0.000488852459016393,6.11413114754098,0.0387473658536585,-0.00756073170731707,0.0518584390243902,-0.00773746341463415,NA,NA,"after",0.455149970819039,0.190356507089781,-0.341340823498299
