Label,Value,Parm_StDev
Early_RecrDev_1876,3.59E-05,0.400007
Early_RecrDev_1877,4.08E-05,0.400008
Early_RecrDev_1878,4.63E-05,0.400009
Early_RecrDev_1879,5.27E-05,0.40001
Early_RecrDev_1880,5.98E-05,0.400012
Early_RecrDev_1881,6.79E-05,0.400013
Early_RecrDev_1882,7.72E-05,0.400015
Early_RecrDev_1883,8.76E-05,0.400017
Early_RecrDev_1884,9.95E-05,0.400019
Early_RecrDev_1885,0.00011294,0.400022
Early_RecrDev_1886,0.000128175,0.400025
Early_RecrDev_1887,0.000145449,0.400028
Early_RecrDev_1888,0.000165011,0.400032
Early_RecrDev_1889,0.000187183,0.400037
Early_RecrDev_1890,0.00021229,0.400041
Early_RecrDev_1891,0.00024073,0.400047
Early_RecrDev_1892,0.000272928,0.400053
Early_RecrDev_1893,0.000309388,0.40006
Early_RecrDev_1894,0.000350657,0.400068
Early_RecrDev_1895,0.000397363,0.400077
Early_RecrDev_1896,0.0004502,0.400087
Early_RecrDev_1897,0.000509982,0.400099
Early_RecrDev_1898,0.00057759,0.400112
Early_RecrDev_1899,0.00065403,0.400127
Early_RecrDev_1900,0.000740436,0.400143
Early_RecrDev_1901,0.000838093,0.400162
Early_RecrDev_1902,0.000948466,0.400183
Early_RecrDev_1903,0.00107315,0.400207
Early_RecrDev_1904,0.00121397,0.400234
Early_RecrDev_1905,0.001373,0.400264
Early_RecrDev_1906,0.00155254,0.400298
Early_RecrDev_1907,0.00175511,0.400336
Early_RecrDev_1908,0.00198366,0.400379
Early_RecrDev_1909,0.00224001,0.400427
Early_RecrDev_1910,0.00252689,0.40048
Early_RecrDev_1911,0.00285039,0.400539
Early_RecrDev_1912,0.00321338,0.400605
Early_RecrDev_1913,0.00361981,0.400679
Early_RecrDev_1914,0.0040733,0.400761
Early_RecrDev_1915,0.00457561,0.40085
Early_RecrDev_1916,0.00512806,0.400947
Early_RecrDev_1917,0.00573399,0.401053
Early_RecrDev_1918,0.00639719,0.401167
Early_RecrDev_1919,0.00712588,0.401291
Early_RecrDev_1920,0.00792173,0.401424
Early_RecrDev_1921,0.00878535,0.401565
Early_RecrDev_1922,0.00971583,0.401715
Early_RecrDev_1923,0.0107127,0.401872
Early_RecrDev_1924,0.0117802,0.402037
Early_RecrDev_1925,0.0129194,0.402208
Early_RecrDev_1926,0.0141333,0.402386
Early_RecrDev_1927,0.0154182,0.40257
Early_RecrDev_1928,0.0167704,0.402758
Early_RecrDev_1929,0.0182094,0.402955
Early_RecrDev_1930,0.0197996,0.40317
Early_RecrDev_1931,0.0217358,0.403429
Early_RecrDev_1932,0.0242737,0.403765
Early_RecrDev_1933,0.0276635,0.404244
Early_RecrDev_1934,0.033386,0.405148
Early_RecrDev_1935,0.0434348,0.40673
Early_RecrDev_1936,0.058736,0.409074
Early_RecrDev_1937,0.0790988,0.412217
Early_RecrDev_1938,0.101807,0.415476
Early_RecrDev_1939,0.116739,0.416624
Early_RecrDev_1940,0.107767,0.413121
Early_RecrDev_1941,0.0680061,0.404654
Early_RecrDev_1942,0.0102348,0.393597
Early_RecrDev_1943,-0.0396231,0.384387
Early_RecrDev_1944,-0.0579508,0.379991
Early_RecrDev_1945,-0.0519583,0.379338
Early_RecrDev_1946,-0.0819355,0.374242
Early_RecrDev_1947,-0.174637,0.360448
Early_RecrDev_1948,-0.270519,0.347299
Early_RecrDev_1949,-0.328539,0.339223
Early_RecrDev_1950,-0.330731,0.336737
Early_RecrDev_1951,-0.275197,0.339872
Early_RecrDev_1952,-0.191992,0.347096
Early_RecrDev_1953,-0.136327,0.353162
Early_RecrDev_1954,-0.113275,0.351216
Early_RecrDev_1955,-0.115082,0.343246
Early_RecrDev_1956,-0.123592,0.330005
Early_RecrDev_1957,-0.120861,0.31273
Early_RecrDev_1958,-0.0999248,0.291591
Main_RecrDev_1959,-0.076649,0.272512
Main_RecrDev_1960,0.2074,0.210443
Main_RecrDev_1961,0.168427,0.182354
Main_RecrDev_1962,-0.246225,0.199799
Main_RecrDev_1963,-0.164924,0.177998
Main_RecrDev_1964,0.190781,0.153687
Main_RecrDev_1965,0.113519,0.185949
Main_RecrDev_1966,0.831126,0.122138
Main_RecrDev_1967,-0.0140725,0.20825
Main_RecrDev_1968,0.0434348,0.174336
Main_RecrDev_1969,-0.0385706,0.177061
Main_RecrDev_1970,0.0228382,0.176629
Main_RecrDev_1971,-0.0141755,0.186033
Main_RecrDev_1972,-0.219672,0.195769
Main_RecrDev_1973,-0.382861,0.201811
Main_RecrDev_1974,-0.116005,0.174793
Main_RecrDev_1975,-0.0971936,0.18254
Main_RecrDev_1976,0.156533,0.167384
Main_RecrDev_1977,0.0869009,0.185914
Main_RecrDev_1978,-0.218425,0.230158
Main_RecrDev_1979,-0.214589,0.237579
Main_RecrDev_1980,-0.0247851,0.220246
Main_RecrDev_1981,-0.104075,0.219905
Main_RecrDev_1982,-0.211026,0.226645
Main_RecrDev_1983,-0.00877954,0.206137
Main_RecrDev_1984,0.434856,0.162279
Main_RecrDev_1985,-0.0148779,0.207389
Main_RecrDev_1986,-0.572969,0.239644
Main_RecrDev_1987,-0.300122,0.228099
Main_RecrDev_1988,0.171062,0.207858
Main_RecrDev_1989,0.399672,0.193988
Main_RecrDev_1990,0.351817,0.210513
Main_RecrDev_1991,-0.0302373,0.22331
Main_RecrDev_1992,-0.629889,0.26083
Main_RecrDev_1993,0.0415469,0.19669
Main_RecrDev_1994,0.220679,0.175841
Main_RecrDev_1995,-0.327105,0.207159
Main_RecrDev_1996,-0.183112,0.161987
Main_RecrDev_1997,-0.253618,0.165113
Main_RecrDev_1998,0.615072,0.0889137
Main_RecrDev_1999,0.222551,0.105385
Main_RecrDev_2000,-0.138495,0.110127
Main_RecrDev_2001,-0.305056,0.108489
Main_RecrDev_2002,-0.190402,0.0958314
Main_RecrDev_2003,-0.384111,0.108677
Main_RecrDev_2004,-0.251045,0.0995822
Main_RecrDev_2005,-0.192739,0.106724
Main_RecrDev_2006,0.418782,0.0867882
Main_RecrDev_2007,0.597199,0.0916705
Main_RecrDev_2008,0.893903,0.0907999
Main_RecrDev_2009,0.0883912,0.149953
Main_RecrDev_2010,-0.182077,0.185689
Main_RecrDev_2011,-0.231044,0.22682
Main_RecrDev_2012,0.0624358,0.272284
Late_RecrDev_2013,-0.0609773,0.371905
Late_RecrDev_2014,0,0.4
